	1970s	1980s	1990s	2000s	2010s	1970s	1980s	1990s	2000s	2010s	1974-75	1975-76	1976-77	1977-78	1978-79	1979-80	1980-81	1981-82	1982-83	1983-84	1984-85	1985-86	1986-87	1987-88	1988-89	1989-90	1990-91	1991-92	1992-93	1993-94	1994-95	1995-96	1996-97	1997-98	1998-99	1999-2000	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	2011-12	2012-13	2013-14	2014-15
 ALABAMA 	1	1	1	1	1	11.60%	10.80%	8.00%	6.80%	6.10%	6.50%	17.20%	13.80%	17.60%	2.90%	9.60%	29.90%	21.30%	17.30%	19.70%	-12.70%	12.00%	8.40%	-9.50%	12.30%	35.20%	0.60%	0.80%	-4.00%	3.40%	42.10%	-33.00%	5.80%	11.60%	17.50%	12.50%	-2.20%	26.00%	-0.80%	6.60%	-2.30%	9.50%	2.40%	9.30%	6.70%	19.40%	-11.00%	14.90%	3.40%	5.10%	4.80%
 ALBERTA 	1	1	1	1	1	13.10%	4.90%	6.90%	10.60%	1.80%	-10.10%	50.80%	-2.30%	7.40%	19.70%	-12.20%	-20.20%	58.60%	-7.60%	0.90%	0.10%	-3.80%	20.50%	8.10%	4.70%	15.70%	5.20%	-6.60%	16.20%	5.60%	44.40%	-2.00%	-9.00%	-2.50%	2.00%	7.30%	21.00%	3.40%	10.30%	26.40%	7.80%	15.00%	11.90%	3.40%	-0.70%	16.00%	5.00%	-7.70%	3.10%	1.60%	-7.10%
 ARIZONA 	1	1	1	1	1	15.70%	8.40%	5.80%	3.80%	2.20%	10.30%	6.00%	23.20%	12.60%	26.30%	28.80%	15.00%	8.80%	-20.10%	13.90%	16.90%	3.40%	2.00%	8.30%	7.20%	4.00%	12.10%	2.00%	2.70%	-0.90%	7.40%	7.50%	6.10%	8.00%	8.90%	10.80%	9.20%	1.30%	2.30%	10.90%	-10.70%	3.30%	7.80%	0.40%	2.10%	11.60%	-3.50%	1.60%	-0.10%	4.00%	-0.60%
 ARIZONA STATE 	1	1	1	1	1	14.40%	13.70%	3.90%	3.30%	1.90%	11.20%	38.80%	-12.40%	20.60%	13.60%	10.80%	9.50%	20.20%	18.00%	1.40%	19.30%	27.80%	3.50%	4.60%	21.80%	4.50%	7.00%	1.40%	-1.50%	4.20%	0.60%	4.00%	4.00%	13.80%	1.00%	10.70%	-0.60%	-1.20%	3.10%	15.80%	-8.70%	16.20%	6.30%	-6.20%	-2.00%	-3.60%	0.20%	0.50%	7.80%	3.40%	3.30%
 AUBURN 	0	0	0	1	1	N/A	N/A	N/A	3.30%	4.60%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.00%	6.80%	-10.60%	1.10%	3.30%	22.10%	-2.70%	-1.40%	10.10%	5.30%	1.60%	13.00%	-4.90%	5.40%	0.00%	1.60%	2.30%	-2.40%	13.90%	-1.80%	6.30%	-1.30%	12.60%
 BOSTON 	1	1	1	1	1	205.30%	-0.30%	5.00%	6.80%	3.80%	-6.70%	-2.10%	19.00%	0.30%	1015.90%	-86.90%	9.70%	35.50%	-4.50%	4.30%	11.60%	1.40%	12.20%	12.30%	1.70%	0.60%	1.40%	-0.20%	7.30%	8.30%	-0.50%	10.30%	11.80%	4.60%	6.10%	11.00%	-2.40%	13.90%	3.40%	36.40%	-12.90%	9.80%	-7.10%	17.10%	-1.00%	2.90%	5.20%	13.00%	0.20%	0.80%	0.80%
 BOSTON COLLEGE 	0	0	0	1	1	N/A	N/A	N/A	4.40%	5.20%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8.00%	1.60%	5.80%	1.40%	5.70%	2.90%	5.90%	5.80%	2.00%	4.00%	1.90%	14.70%	5.00%	1.80%	4.00%
 BOSTON PUBLIC 	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.30%	-6.20%	-7.50%	-12.70%	0.00%	N/A	N/A	N/A	0.00%
 BRITISH COLUMBIA 	1	1	1	1	1	12.80%	5.30%	5.60%	7.60%	1.30%	-0.80%	15.90%	12.20%	26.60%	10.10%	-9.70%	10.90%	14.20%	1.30%	2.90%	-13.20%	12.60%	18.00%	5.50%	10.90%	14.20%	7.10%	3.70%	4.70%	6.50%	3.50%	9.40%	1.80%	1.50%	3.50%	10.30%	-0.80%	7.60%	10.30%	13.60%	6.80%	14.70%	10.70%	-0.30%	3.00%	5.10%	1.50%	25.40%	-24.60%	8.20%	-7.90%
 BROWN 	1	1	1	1	1	10.50%	10.50%	6.70%	5.80%	5.60%	12.40%	17.30%	-17.00%	16.90%	22.90%	10.30%	10.20%	27.10%	7.90%	15.80%	7.90%	-0.80%	9.40%	12.80%	4.70%	15.50%	10.60%	2.50%	3.30%	1.90%	13.60%	-1.10%	17.30%	-5.90%	8.90%	3.60%	17.20%	6.00%	11.00%	-4.70%	15.80%	2.70%	-0.80%	3.30%	3.80%	10.00%	1.80%	4.20%	5.10%	6.40%	6.20%
