,1970s: Full data?,1980s: Full data?,1990s: Full data?,2000s: Full data?,2010s: Full data?,1970s,1980s,1990s,2000s,2010s,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
 ALABAMA ,1,1,1,1,1,11.6%,10.8%,8.0%,6.8%,6.1%,6.5%,17.2%,13.8%,17.6%,2.9%,9.6%,29.9%,21.3%,17.3%,19.7%,-12.7%,12.0%,8.4%,-9.5%,12.3%,35.2%,0.6%,0.8%,-4.0%,3.4%,42.1%,-33.0%,5.8%,11.6%,17.5%,12.5%,-2.2%,26.0%,-0.8%,6.6%,-2.3%,9.5%,2.4%,9.3%,6.7%,19.4%,-11.0%,14.9%,3.4%,5.1%,4.8%
 ALBERTA ,1,1,1,1,1,13.1%,4.9%,6.9%,10.6%,1.8%,-10.1%,50.8%,-2.3%,7.4%,19.7%,-12.2%,-20.2%,58.6%,-7.6%,0.9%,0.1%,-3.8%,20.5%,8.1%,4.7%,15.7%,5.2%,-6.6%,16.2%,5.6%,44.4%,-2.0%,-9.0%,-2.5%,2.0%,7.3%,21.0%,3.4%,10.3%,26.4%,7.8%,15.0%,11.9%,3.4%,-0.7%,16.0%,5.0%,-7.7%,3.1%,1.6%,-7.1%
 ARIZONA ,1,1,1,1,1,15.7%,8.4%,5.8%,3.8%,2.2%,10.3%,6.0%,23.2%,12.6%,26.3%,28.8%,15.0%,8.8%,-20.1%,13.9%,16.9%,3.4%,2.0%,8.3%,7.2%,4.0%,12.1%,2.0%,2.7%,-0.9%,7.4%,7.5%,6.1%,8.0%,8.9%,10.8%,9.2%,1.3%,2.3%,10.9%,-10.7%,3.3%,7.8%,0.4%,2.1%,11.6%,-3.5%,1.6%,-0.1%,4.0%,-0.6%
 ARIZONA STATE ,1,1,1,1,1,14.4%,13.7%,3.9%,3.3%,1.9%,11.2%,38.8%,-12.4%,20.6%,13.6%,10.8%,9.5%,20.2%,18.0%,1.4%,19.3%,27.8%,3.5%,4.6%,21.8%,4.5%,7.0%,1.4%,-1.5%,4.2%,0.6%,4.0%,4.0%,13.8%,1.0%,10.7%,-0.6%,-1.2%,3.1%,15.8%,-8.7%,16.2%,6.3%,-6.2%,-2.0%,-3.6%,0.2%,0.5%,7.8%,3.4%,3.3%
 AUBURN ,0,0,0,1,1,N/A,N/A,N/A,3.3%,4.6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0%,6.8%,-10.6%,1.1%,3.3%,22.1%,-2.7%,-1.4%,10.1%,5.3%,1.6%,13.0%,-4.9%,5.4%,0.0%,1.6%,2.3%,-2.4%,13.9%,-1.8%,6.3%,-1.3%,12.6%
 BOSTON ,1,1,1,1,1,205.3%,-0.3%,5.0%,6.8%,3.8%,-6.7%,-2.1%,19.0%,0.3%,1015.9%,-86.9%,9.7%,35.5%,-4.5%,4.3%,11.6%,1.4%,12.2%,12.3%,1.7%,0.6%,1.4%,-0.2%,7.3%,8.3%,-0.5%,10.3%,11.8%,4.6%,6.1%,11.0%,-2.4%,13.9%,3.4%,36.4%,-12.9%,9.8%,-7.1%,17.1%,-1.0%,2.9%,5.2%,13.0%,0.2%,0.8%,0.8%
 BOSTON COLLEGE ,0,0,0,1,1,N/A,N/A,N/A,4.4%,5.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.0%,1.6%,5.8%,1.4%,5.7%,2.9%,5.9%,5.8%,2.0%,4.0%,1.9%,14.7%,5.0%,1.8%,4.0%
 BOSTON PUBLIC ,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.3%,-6.2%,-7.5%,-12.7%,0.0%,N/A,N/A,N/A,0.0%
 BRIGHAM YOUNG ,0,0,1,1,1,N/A,N/A,94.2%,7.3%,7.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.7%,-0.9%,13.3%,8.7%,-1.5%,8.6%,4.4%,0.4%,1009.9%,-89.5%,-1.4%,1.0%,1.8%,8.3%,1.0%,11.1%,30.3%,-3.7%,12.9%,25.9%,-10.0%,3.5%,17.9%,-15.6%,40.3%,-19.9%,12.2%,-3.8%,-5.4%,24.2%
 BRITISH COLUMBIA ,1,1,1,1,1,12.8%,5.3%,5.6%,7.6%,1.3%,-0.8%,15.9%,12.2%,26.6%,10.1%,-9.7%,10.9%,14.2%,1.3%,2.9%,-13.2%,12.6%,18.0%,5.5%,10.9%,14.2%,7.1%,3.7%,4.7%,6.5%,3.5%,9.4%,1.8%,1.5%,3.5%,10.3%,-0.8%,7.6%,10.3%,13.6%,6.8%,14.7%,10.7%,-0.3%,3.0%,5.1%,1.5%,25.4%,-24.6%,8.2%,-7.9%
 BROWN ,1,1,1,1,1,10.5%,10.5%,6.7%,5.8%,5.6%,12.4%,17.3%,-17.0%,16.9%,22.9%,10.3%,10.2%,27.1%,7.9%,15.8%,7.9%,-0.8%,9.4%,12.8%,4.7%,15.5%,10.6%,2.5%,3.3%,1.9%,13.6%,-1.1%,17.3%,-5.9%,8.9%,3.6%,17.2%,6.0%,11.0%,-4.7%,15.8%,2.7%,-0.8%,3.3%,3.8%,10.0%,1.8%,4.2%,5.1%,6.4%,6.2%
 CALGARY ,0,0,0,0,1,N/A,N/A,N/A,N/A,0.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.8%,0.4%,1.1%,5.9%,-6.8%,-2.0%
" CALIFORNIA, BERKELEY ",1,1,1,1,1,8.4%,8.6%,6.3%,3.8%,5.8%,-8.6%,7.5%,5.4%,9.5%,28.1%,7.2%,14.7%,7.2%,3.5%,14.1%,4.0%,7.3%,10.5%,9.8%,7.9%,1.5%,12.8%,7.9%,-0.5%,18.6%,-0.7%,-3.9%,3.8%,5.6%,17.8%,4.8%,15.1%,17.0%,-10.3%,-1.1%,-3.6%,12.4%,13.0%,2.0%,-11.3%,0.0%,-1.0%,16.9%,-5.8%,16.9%,8.2%
" CALIFORNIA, DAVIS ",1,1,1,1,1,7.4%,9.4%,5.7%,1.8%,1.4%,-6.1%,13.5%,-0.7%,7.8%,22.7%,-4.1%,26.1%,7.3%,21.1%,-4.2%,6.3%,12.1%,4.4%,10.1%,14.4%,-0.8%,5.7%,1.4%,-6.2%,-13.9%,27.1%,6.1%,-2.5%,-3.7%,43.3%,8.5%,-9.0%,-0.3%,-27.2%,27.8%,-17.7%,34.9%,1.5%,-7.7%,7.5%,-14.4%,11.7%,4.5%,0.2%,2.4%,3.9%
