inam,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87, 1987-88 , 1988-89 , 1989-90 , 1990-91 , 1991-92 , 1992-93 , 1993-94 , 1994-95 , 1995-96 , 1996-97 , 1997-98 , 1998-99 , 1999-2000 ,2000-01, 2001-02 , 2002-03 , 2003-04 , 2004-05 ,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
 ALABAMA ," $542,508.00 "," $577,778.00 "," $676,916.00 "," $770,157.00 "," $905,914.00 "," $932,375.00 "," $1,021,860.00 "," $1,327,485.00 "," $1,609,716.00 "," $1,888,852.00 "," $2,261,340.00 "," $1,974,188.00 "," $2,211,547.00 "," $2,398,083.00 "," $2,170,540.00 "," $2,437,143.00 "," $3,295,376.00 "," $3,315,919.00 "," $3,343,629.00 "," $3,208,970.00 "," $3,317,378.00 "," $4,714,384.00 "," $3,158,503.00 "," $3,340,209.00 "," $3,726,540.00 "," $4,377,560.00 "," $4,924,184.00 "," $4,817,514.00 "," $6,071,392.00 "," $6,021,215.00 "," $6,420,160.00 "," $6,274,306.00 "," $6,870,657.00 "," $7,032,660.00 "," $7,688,246.00 "," $8,207,066.00 "," $9,798,773.00 "," $8,716,895.00 "," $10,018,263.00 "," $10,353,916.00 "," $10,887,008.00 ","$11,404,167.00 "
 ALBERTA ," $1,523,200.00 "," $1,369,363.00 "," $2,065,090.00 "," $2,017,639.00 "," $2,166,605.00 "," $2,594,383.00 "," $2,276,681.00 "," $1,816,159.00 "," $2,879,623.00 "," $2,660,505.00 "," $2,684,510.00 "," $2,686,758.00 "," $2,584,852.00 "," $3,114,548.00 "," $3,367,665.00 "," $3,526,503.00 "," $4,080,486.00 "," $4,290,665.00 "," $4,006,122.00 "," $4,654,469.00 "," $4,916,215.00 "," $7,100,177.00 "," $6,959,927.00 "," $6,331,580.00 "," $6,172,162.00 "," $6,294,931.00 "," $6,752,309.00 "," $8,167,834.00 "," $8,448,971.00 "," $9,316,397.00 "," $11,772,016.00 "," $12,689,026.00 "," $14,590,358.59 "," $16,330,216.37 "," $16,880,130.68 "," $16,761,356.82 "," $19,446,396.36 "," $20,424,598.56 "," $18,845,712.86 "," $19,431,322.91 "," $19,743,693.26 ","$18,339,089.36 "
 ARIZONA ," $1,210,350.00 "," $1,335,504.00 "," $1,416,157.00 "," $1,744,566.00 "," $1,964,024.00 "," $2,481,478.00 "," $3,195,570.00 "," $3,674,784.00 "," $3,996,488.00 "," $3,194,650.00 "," $3,639,771.00 "," $4,256,069.00 "," $4,402,842.00 "," $4,490,859.00 "," $4,861,673.00 "," $5,209,660.00 "," $5,420,090.00 "," $6,073,376.00 "," $6,193,948.00 "," $6,363,868.00 "," $6,306,870.00 "," $6,773,278.00 "," $7,284,160.00 "," $7,728,721.00 "," $8,343,234.00 "," $9,082,540.00 "," $10,066,967.00 "," $10,994,470.00 "," $11,141,668.00 "," $11,399,093.00 "," $12,638,919.00 "," $11,289,602.00 "," $11,662,200.00 "," $12,573,693.00 "," $12,627,388.00 "," $12,890,572.00 "," $14,386,012.00 "," $13,884,966.85 "," $14,105,328.00 "," $14,090,805.00 "," $14,660,978.00 ","$14,572,499.00 "
 ARIZONA STATE ," $882,357.00 "," $981,390.00 "," $1,362,171.00 "," $1,193,360.00 "," $1,439,587.00 "," $1,635,074.00 "," $1,811,764.00 "," $1,983,121.00 "," $2,384,253.00 "," $2,812,846.00 "," $2,852,184.00 "," $3,401,502.00 "," $4,347,917.00 "," $4,502,040.00 "," $4,707,750.00 "," $5,736,019.00 "," $5,991,294.00 "," $6,408,284.00 "," $6,497,153.00 "," $6,397,496.00 "," $6,663,669.00 "," $6,702,115.00 "," $6,972,105.00 "," $7,248,607.00 "," $8,250,336.00 "," $8,332,195.00 "," $9,226,011.00 "," $9,167,076.00 "," $9,054,553.00 "," $9,335,316.00 "," $10,810,784.00 "," $9,875,520.00 "," $11,474,442.00 "," $12,192,366.00 "," $11,433,551.00 "," $11,204,849.00 "," $10,805,462.00 "," $10,824,583.00 "," $10,881,158.00 "," $11,727,942.00 "," $12,123,498.00 ","$12,521,366.00 "
 AUBURN , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $3,523,799.00 "," $3,557,742.00 "," $3,801,081.00 "," $3,397,720.00 "," $3,434,125.00 "," $3,545,919.00 "," $4,331,131.00 "," $4,216,133.00 "," $4,158,803.00 "," $4,579,191.00 "," $4,820,156.00 "," $4,898,314.00 "," $5,533,059.00 "," $5,261,396.00 "," $5,543,726.00 "," $5,543,546.00 "," $5,629,762.00 "," $5,760,251.00 "," $5,621,146.00 "," $6,404,973.00 "," $6,286,497.00 "," $6,679,460.00 "," $6,594,618.00 ","$7,428,622.00 "
 BOSTON ," $947,563.00 "," $884,053.00 "," $865,902.00 "," $1,030,807.00 "," $1,034,293.00 "," $11,542,014.00 "," $1,514,162.00 "," $1,661,003.00 "," $2,249,999.00 "," $2,148,524.00 "," $2,240,239.00 "," $2,500,588.00 "," $2,536,686.00 "," $2,845,175.00 "," $3,195,096.00 "," $3,249,292.00 "," $3,268,154.00 "," $3,312,540.00 "," $3,306,921.00 "," $3,547,912.00 "," $3,841,523.00 "," $3,822,624.00 "," $4,216,387.00 "," $4,714,762.00 "," $4,930,455.00 "," $5,231,022.00 "," $5,805,618.00 "," $5,664,270.00 "," $6,452,062.00 "," $6,672,175.00 "," $9,101,636.00 "," $7,927,966.00 "," $8,707,614.00 "," $8,087,754.00 "," $9,468,057.00 "," $9,375,336.00 "," $9,645,325.00 "," $10,147,440.00 "," $11,468,486.00 "," $11,494,395.00 "," $11,590,533.00 ","$11,681,906.00 "
 BOSTON COLLEGE , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $6,257,681.00 "," $6,756,897.00 "," $6,861,816.00 "," $7,261,122.00 "," $7,363,517.00 "," $7,783,477.00 "," $8,009,522.00 "," $8,483,648.00 "," $8,979,309.00 "," $9,161,518.00 "," $9,529,516.00 "," $9,711,522.00 "," $11,137,980.00 "," $11,697,021.00 "," $11,902,501.00 ","$12,384,315.00 "
 BOSTON PUBLIC , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $6,352,208.00 "," $6,498,051.00 "," $6,094,328.00 "," $5,639,550.00 "," $4,924,546.00 "," $4,924,546.00 ", N/A , N/A ," $4,463,585.00 ","$4,463,585.00 "
 BRIGHAM YOUNG , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $2,349,046.00 "," $2,929,775.00 "," $2,903,688.00 "," $3,290,468.00 "," $3,577,405.00 "," $3,524,907.00 "," $3,826,648.00 "," $3,996,308.00 "," $4,011,794.00 "," $44,527,122.00 "," $4,692,362.00 "," $4,625,350.00 "," $4,670,790.00 "," $4,755,057.00 "," $5,148,725.00 "," $5,198,466.00 "," $5,776,876.00 "," $7,529,916.00 "," $7,249,187.00 "," $8,183,965.00 "," $10,301,595.00 "," $9,271,776.00 "," $9,594,560.00 "," $11,307,847.00 "," $9,542,790.00 "," $13,388,500.00 "," $10,723,462.00 "," $12,035,872.00 "," $11,583,331.00 "," $10,961,990.00 "," $13,613,157.00 "
 BRITISH COLUMBIA ," $1,513,856.00 "," $1,502,317.00 "," $1,741,021.00 "," $1,954,121.00 "," $2,473,368.00 "," $2,722,613.00 "," $2,457,842.00 "," $2,726,692.00 "," $3,113,900.00 "," $3,153,525.00 "," $3,245,061.00 "," $2,815,287.00 "," $3,170,237.00 "," $3,739,913.00 "," $3,944,491.00 "," $4,374,702.00 "," $4,994,079.00 "," $5,346,273.00 "," $5,542,120.00 "," $5,805,183.00 "," $6,185,305.00 "," $6,404,603.00 "," $7,004,396.00 "," $7,130,584.00 "," $7,239,062.00 "," $7,491,774.00 "," $8,260,018.00 "," $8,192,492.00 "," $8,815,266.00 "," $9,720,484.00 "," $11,041,026.00 "," $11,794,175.00 "," $13,523,717.43 "," $14,967,689.66 "," $14,917,230.97 "," $15,366,604.10 "," $16,142,816.41 "," $16,378,646.89 "," $20,537,518.18 "," $15,489,971.13 "," $16,763,126.28 ","$15,440,755.60 "
 BROWN ," $655,366.00 "," $736,596.00 "," $864,248.00 "," $717,001.00 "," $837,880.00 "," $1,029,616.00 "," $1,136,000.00 "," $1,251,646.00 "," $1,590,306.00 "," $1,716,489.00 "," $1,988,542.00 "," $2,146,428.00 "," $2,129,155.00 "," $2,328,290.00 "," $2,625,672.00 "," $2,748,262.00 "," $3,173,041.00 "," $3,508,128.00 "," $3,596,454.00 "," $3,716,716.00 "," $3,786,987.00 "," $4,303,622.00 "," $4,256,138.00 "," $4,990,645.00 "," $4,697,318.00 "," $5,113,075.00 "," $5,299,696.00 "," $6,210,344.00 "," $6,583,380.00 "," $7,308,172.00 "," $6,962,997.00 "," $8,064,841.00 "," $8,285,394.00 "," $8,219,812.00 "," $8,494,260.00 "," $8,817,845.00 "," $9,701,826.00 "," $9,873,286.00 "," $10,287,916.00 "," $10,817,454.00 "," $11,511,759.00 ","$12,230,514.00 "
 CALGARY , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $11,788,750.32 "," $12,120,784.39 "," $12,173,516.08 "," $12,307,496.26 "," $13,031,452.32 "," $12,140,520.27 ","$11,896,532.92 "
" CALIFORNIA, BERKELEY "," $2,180,472.00 "," $1,992,126.00 "," $2,141,376.00 "," $2,257,074.00 "," $2,471,036.00 "," $3,164,447.00 "," $3,391,896.00 "," $3,890,000.00 "," $4,169,260.00 "," $4,313,694.00 "," $4,920,756.00 "," $5,115,266.00 "," $5,487,829.00 "," $6,063,143.00 "," $6,655,477.00 "," $7,182,794.00 "," $7,289,079.00 "," $8,219,006.00 "," $8,867,640.00 "," $8,824,344.00 "," $10,469,495.00 "," $10,391,411.00 "," $9,985,658.00 "," $10,364,871.00 "," $10,940,620.00 "," $12,883,612.00 "," $13,499,097.00 "," $15,532,681.00 "," $18,170,846.00 "," $16,291,361.00 "," $16,117,813.00 "," $15,532,371.00 "," $17,453,180.00 "," $19,715,862.00 "," $20,118,847.00 "," $17,849,390.00 "," $17,846,646.00 "," $17,661,578.00 "," $20,645,030.00 "," $19,440,818.00 "," $22,726,792.00 ","$24,587,046.00 "
" CALIFORNIA, DAVIS "," $1,652,600.00 "," $1,552,236.00 "," $1,761,133.00 "," $1,748,017.00 "," $1,885,000.00 "," $2,313,202.00 "," $2,218,189.00 "," $2,798,138.00 "," $3,002,697.00 "," $3,637,044.00 "," $3,482,744.00 "," $3,703,014.00 "," $4,150,559.00 "," $4,332,014.00 "," $4,768,676.00 "," $5,456,787.00 "," $5,412,454.00 "," $5,721,446.00 "," $5,801,977.00 "," $5,444,233.00 "," $4,688,058.00 "," $5,959,314.00 "," $6,323,446.00 "," $6,167,201.00 "," $5,939,195.00 "," $8,509,458.00 "," $9,235,458.00 "," $8,407,571.00 "," $8,385,082.00 "," $6,106,571.00 "," $7,801,367.00 "," $6,417,684.00 "," $8,659,069.00 "," $8,791,741.00 "," $8,113,229.00 "," $8,717,848.00 "," $7,462,149.00 "," $8,338,203.00 "," $8,712,667.00 "," $8,733,164.00 "," $8,940,658.00 ","$9,285,616.00 "
" CALIFORNIA, IRVINE ", N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $1,891,829.00 "," $1,920,818.00 "," $2,375,238.00 "," $2,495,468.00 "," $2,779,486.00 "," $3,078,629.00 "," $3,123,513.00 "," $3,036,335.00 "," $3,440,559.00 "," $3,599,388.00 "," $3,788,280.00 "," $4,314,346.00 "," $3,837,945.00 "," $4,005,699.00 "," $4,239,690.00 "," $4,395,520.00 "," $4,038,907.00 "," $4,458,837.00 "," $5,644,801.00 "," $6,869,863.00 "," $6,268,078.00 "," $6,650,417.00 "," $7,133,737.00 "," $6,740,795.00 "," $6,926,009.00 "," $7,814,726.00 "," $8,630,487.00 "," $9,508,339.00 "," $9,489,506.00 "," $9,714,066.00 "," $8,850,255.00 "," $8,089,353.00 "," $8,429,718.00 "," $9,318,324.00 ","$9,423,686.00 "
" CALIFORNIA, LOS ANGELES "," $2,058,983.00 "," $1,998,653.00 "," $2,183,647.00 "," $2,241,345.00 "," $2,765,897.00 "," $3,120,650.00 "," $3,367,344.00 "," $3,637,295.00 "," $4,195,060.00 "," $4,960,478.00 "," $5,210,844.00 "," $5,849,917.00 "," $6,850,170.00 "," $7,451,635.00 "," $7,143,307.00 "," $7,821,472.00 "," $88,501,331.00 "," $8,355,854.00 "," $8,330,765.00 "," $8,574,430.00 "," $8,955,879.00 "," $9,488,562.00 "," $9,502,100.00 "," $9,190,355.00 "," $9,606,288.00 "," $10,944,779.00 "," $10,608,280.00 "," $11,454,604.00 "," $13,661,380.00 "," $12,672,517.00 "," $12,744,509.00 "," $11,892,506.00 "," $15,158,149.00 "," $14,893,015.00 "," $15,000,546.00 "," $14,459,035.00 "," $12,393,660.00 "," $13,501,388.00 "," $13,812,143.00 "," $14,350,890.00 "," $15,610,465.00 ","$15,547,432.00 "
" CALIFORNIA, RIVERSIDE ", N/A , N/A , N/A , N/A , N/A ," $1,028,195.00 "," $1,227,884.00 "," $780,924.00 "," $1,517,408.00 "," $1,596,356.00 "," $1,726,632.00 "," $2,044,019.00 "," $2,168,576.00 "," $2,349,757.00 "," $2,284,100.00 "," $2,201,894.00 "," $2,711,793.00 "," $2,626,639.00 "," $2,573,692.00 "," $2,667,376.00 "," $2,807,846.00 "," $3,090,772.00 "," $3,249,826.00 "," $3,335,953.00 "," $3,617,587.00 "," $4,000,326.00 "," $4,006,637.00 "," $4,123,531.00 "," $3,915,313.00 "," $4,642,773.00 "," $5,214,071.00 "," $5,444,783.00 "," $6,109,872.00 "," $6,176,930.00 "," $5,745,878.00 "," $4,802,770.00 "," $4,983,504.00 "," $4,587,033.00 "," $4,088,338.00 "," $4,309,625.00 "," $4,424,542.00 ","$4,885,279.00 "
