account	subaccount	title	year	price	orderNumber	titleControl	issn	callNumber	notes
11390014164034101	34101	Denver quarterly	2015	$40.00	LEAAL40152	AAL4015	0011-8869	AP 2 .U733	
11390014164034101	34101	Denver quarterly	2016	$40.00	LEAAL40152	AAL4015	0011-8869	AP 2 .U733	
11390014164034101	34101	Deseret news 	2015	$447.20	LEA41004641	a4100464	1545-5939	NEWSPAPER	
11390014164034101	34101	Deseret news 	2016		LEA41004641	a4100464	1545-5939	NEWSPAPER	
11390014164034101	34101	Deseret news 	2015	$160.00	LEA64380151	a6438015	1545-5939	BX 8605.1 .D45n	
11390014164034101	34101	Deseret news 	2016		LEA64380151	a6438015	1545-5939	BX 8605.1 .D45n	
11390014164034101	34101	Harper's	2015	$29.97	LEDAN09942	DAN0994	0017-789X	AP 2 .H3	
11390014164034101	34101	Harper's	2016	$30.00	LEDAN09942	DAN0994	0017-789X	AP 2 .H3	
11390014164034101	34101	Newsweek	2015		LEABT38285	ABT3828	0028-9604	AP 2 .N6772	
11390014164034101	34101	Newsweek	2016		LEABT38285	ABT3828	0028-9604	AP 2 .N6772	
11390014164034101	34101	New Yorker 	2015	$99.99	LEDBD31432	DBD3143	0028-792X	AP 2 .N6763	
11390014164034101	34101	New Yorker 	2016	$99.99	LEDBD31432	DBD3143	0028-792X	AP 2 .N6763	
11390014164034101	34101	Proceedings of the British Academy	2015	$498.19	LEDAV92782	DAV9278	0068-1202	AS 122 .L5	
11390014164034101	34101	Proceedings of the British Academy	2016		LEDAV92782	DAV9278	0068-1202	AS 122 .L5	
11390014164034101	34101	Salt Lake tribune 	2015	$1783.00	LEDBD73261	DBD7326	0746-3502	Sa37	
11390014164034101	34101	Salt Lake tribune 	2015	$291.20	LEDAT28411	DAT2841	0746-3502	NEWSPAPER	
11390014164034101	34101	Salt Lake tribune 	2016	$1799.00	LEDBD73261	DBD7326	0746-3502	Sa37	
11390014164034101	34101	Salt Lake tribune 	2016	$337.50	LEDAT28411	DAT2841	0746-3502	NEWSPAPER	
11390014164034101	34101	Sphere	2015	$55.69	LEA39905511	a3990551	2040-5316	G 149 .O742	
11390014164034101	34101	Sphere	2016		LEA39905511	a3990551	2040-5316	G 149 .O742	
11390014164034101	34101	The Georgia review	2015	$51.00	LEDBC48682	DBC4868	0016-8386	AP 2 .G375	
11390014164034101	34101	The Georgia review	2016	$51.00	LEDBC48682	DBC4868	0016-8386	AP 2 .G375	
11390014164034101	34101	The New York times	2015		LEDBD31221	DBD3122	0362-4331	NEWSPAPER	
11390014164034101	34101	The North American review	2015	$61.00	LEDBD33652	DBD3365	0029-2397	AP 2 .N7	
11390014164034101	34101	The North American review	2016	$32.00	LEDBD33652	DBD3365	0029-2397	AP 2 .N7	
11390014164034101	34101	The Times educational supplement	2015	$1596.00	LEDBD97751	DBD9775		T4842E	
11390014164034101	34101	The Times educational supplement	2016	$1596.00	LEDBD97751	DBD9775		T4842E	
11390014164034101	34101	The Washington post	2015	$759.12	LEDBE38822	DBE3882	0097-8167	NEWSPAPER	
11390014164034101	34101	The Washington post	2016	$951.00	LEDBE38822	DBE3882	0097-8167	NEWSPAPER	
11390014164034101	34101	Time	2015	$77.13	LEABT38385	ABT3838	0040-781X	AP 2 .T37	***check in all of 2016 ***
11390014164034101	34101	Time	2015	$77.13	LEABT38387	ABT3838	0040-781X	AP 2 .T37	***check in all of 2016 ***
11390014164034101	34101	Time	2016	$77.13	LEABT38385	ABT3838	0040-781X	AP 2 .T37	***check in all of 2016 ***
11390014164034101	34101	Time	2016		LEABT38387	ABT3838	0040-781X	AP 2 .T37	***check in all of 2016 ***
11390014164034101	34101	Wall Street journal 	2015	$413.40	LEABM92201	ABM9220	0193-2241	NEWSPAPER	
11390014164034101	34101	Wall Street journal 	2016	$413.40	LEABM92201	ABM9220	0193-2241	NEWSPAPER	
11390014164034103	34103	Alliance 	2015		LEDEE62641	DEE6264		BJ 1475.3 .A44x	
11390014164034103	34103	Alliance 	2016		LEDEE62641	DEE6264		BJ 1475.3 .A44x	
11390014164034103	34103	Betrachtungen : Mormonische Kultur und Geisteswelt in Europa	2015		LEDDD94571	DDD9457	0948-2008	BX 8605.1 .B465	
11390014164034103	34103	Betrachtungen : Mormonische Kultur und Geisteswelt in Europa	2016		LEDDD94571	DDD9457	0948-2008	BX 8605.1 .B465	
11390014164034103	34103	By common consent	2015		LEDEE63571	DEE6357		BX 8605.92 .C737	
11390014164034103	34103	By common consent	2016		LEDEE63571	DEE6357		BX 8605.92 .C737	
11390014164034103	34103	Deseret news ... Church almanac	2015		LEA41825101	a4182510		BX 8672.2 .D457a	
11390014164034103	34103	Deseret news ... Church almanac	2015		LEA41825102	a4182510		BX 8672.2 .D457a	
11390014164034103	34103	Deseret news ... Church almanac	2015		LEA41825103	a4182510		BX 8672.2 .D457a	
11390014164034103	34103	Deseret news ... Church almanac	2015		LEA41825104	a4182510		BX 8672.2 .D457a	
11390014164034103	34103	Deseret news ... Church almanac	2015		LEA41825105	a4182510		BX 8672.2 .D457a	
11390014164034103	34103	Dialogue 	2015	$181.00	LEABC27552	ABC2755	0012-2157	BX 8605.1 .D541	Dialogue: a Journal of Mormon Thought
11390014164034103	34103	Dialogue 	2015	$181.00	LEABC27554	ABC2755	0012-2157	BX 8605.1 .D541	Dialogue: a Journal of Mormon Thought
11390014164034103	34103	Dialogue 	2016	$181.00	LEABC27552	ABC2755	0012-2157	BX 8605.1 .D541	Dialogue: a Journal of Mormon Thought
11390014164034103	34103	Dialogue 	2016	$181.00	LEABC27554	ABC2755	0012-2157	BX 8605.1 .D541	Dialogue: a Journal of Mormon Thought
11390014164034103	34103	Ensign 	2015		LEDCF37431	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2015		LEDCF37432	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2015		LEDCF37433	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2015		LEDCF37434	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2015		LEDCF37435	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2016		LEDCF37431	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2016		LEDCF37432	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2016		LEDCF37433	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2016		LEDCF37434	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2016		LEDCF37435	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Exponent II	2015	$50.00	LEDAF41442	DAF4144	1094-7760	BX 8605.1 .Ex75	
11390014164034103	34103	Exponent II	2016		LEDAF41442	DAF4144	1094-7760	BX 8605.1 .Ex75	
11390014164034103	34103	Friend 	2015		LEDAZ90181	DAZ9018	0009-4102	BX 8605.1 .F915	
